"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 09 16:39:02 CST 2022","Wed Mar 09 16:39:02 CST 2022","134","testcases.test_business_token_goodsinfo04","test_business_token_goodsinfo03","TestGoodsInfo","","","商品信息查询—（带商品）销售状态为0、促销状态为1","商品信息查询模块接口测试用例"
"passed","Wed Mar 09 16:39:02 CST 2022","Wed Mar 09 16:39:02 CST 2022","132","testcases.test_business_token_goodsinfo04","test_business_token_goodsinfo03","TestGoodsInfo","","","商品信息查询—（不带商品）销售状态为1、促销状态为1","商品信息查询模块接口测试用例"
"passed","Wed Mar 09 16:39:06 CST 2022","Wed Mar 09 16:39:06 CST 2022","297","testcases.test_business_token_order_items05","test_business_token_order_items01","TestOrderItems","","","订单信息查询订单编号错误","订单信息查询接口测试用例"
"passed","Wed Mar 09 16:38:50 CST 2022","Wed Mar 09 16:38:50 CST 2022","118","testcases.test_business_register03","test_business_register03","TestRegister","","","用户名包含特殊符号的场景","商品注册模块接口测试用例"
"passed","Wed Mar 09 16:38:56 CST 2022","Wed Mar 09 16:38:57 CST 2022","153","testcases.test_business_token_goods_input06","test_business_token_goods_input01","TestGoodsInput","","","测试商品描述无效边界","商品信息录入接口测试用例"
"passed","Wed Mar 09 16:39:04 CST 2022","Wed Mar 09 16:39:04 CST 2022","125","testcases.test_business_token_login02","test_login05","TestLogin","","","测试用户名错误的场景","商品登录模块接口测试用例"
"passed","Wed Mar 09 16:39:03 CST 2022","Wed Mar 09 16:39:03 CST 2022","129","testcases.test_business_token_goodsinfo04","test_business_token_goodsinfo03","TestGoodsInfo","","","商品信息查询—促销状态为非枚举","商品信息查询模块接口测试用例"
"passed","Wed Mar 09 16:39:00 CST 2022","Wed Mar 09 16:39:00 CST 2022","125","testcases.test_business_token_goodsinfo04","test_business_token_goodsinfo03","TestGoodsInfo","","","商品信息查询—token为空","商品信息查询模块接口测试用例"
"passed","Wed Mar 09 16:38:49 CST 2022","Wed Mar 09 16:38:50 CST 2022","120","testcases.test_business_register03","test_business_register03","TestRegister","","","用户名已存在的场景","商品注册模块接口测试用例"
"passed","Wed Mar 09 16:38:58 CST 2022","Wed Mar 09 16:38:58 CST 2022","132","testcases.test_business_token_goods_input06","test_business_token_goods_input01","TestGoodsInput","","","测试商品价格超过最大值","商品信息录入接口测试用例"
"passed","Wed Mar 09 16:39:01 CST 2022","Wed Mar 09 16:39:01 CST 2022","152","testcases.test_business_token_goodsinfo04","test_business_token_goodsinfo03","TestGoodsInfo","","","商品信息查询—（不带商品）促销状态为1","商品信息查询模块接口测试用例"
"passed","Wed Mar 09 16:38:49 CST 2022","Wed Mar 09 16:38:49 CST 2022","117","testcases.test_business_register03","test_business_register03","TestRegister","","","用户名为5位无效边界值的场景","商品注册模块接口测试用例"
"passed","Wed Mar 09 16:38:56 CST 2022","Wed Mar 09 16:38:56 CST 2022","138","testcases.test_business_token_goods_input06","test_business_token_goods_input01","TestGoodsInput","","","测试商品描述有效边界","商品信息录入接口测试用例"
"passed","Wed Mar 09 16:38:50 CST 2022","Wed Mar 09 16:38:50 CST 2022","123","testcases.test_business_register03","test_business_register03","TestRegister","","","用户名后包含空格的场景","商品注册模块接口测试用例"
"passed","Wed Mar 09 16:38:54 CST 2022","Wed Mar 09 16:38:54 CST 2022","139","testcases.test_business_register03","test_business_register03","TestRegister","","","邮箱已注册的场景","商品注册模块接口测试用例"
"passed","Wed Mar 09 16:38:58 CST 2022","Wed Mar 09 16:38:58 CST 2022","158","testcases.test_business_token_goods_input06","test_business_token_goods_input01","TestGoodsInput","","","测试商品价格为整数","商品信息录入接口测试用例"
"passed","Wed Mar 09 16:38:53 CST 2022","Wed Mar 09 16:38:53 CST 2022","125","testcases.test_business_register03","test_business_register03","TestRegister","","","性别为男+女的场景","商品注册模块接口测试用例"
"passed","Wed Mar 09 16:38:57 CST 2022","Wed Mar 09 16:38:57 CST 2022","126","testcases.test_business_token_goods_input06","test_business_token_goods_input01","TestGoodsInput","","","测试商品库存为负数","商品信息录入接口测试用例"
"failed","Wed Mar 09 16:38:55 CST 2022","Wed Mar 09 16:38:55 CST 2022","147","testcases.test_business_token_goods_input06","test_business_token_goods_input01","TestGoodsInput","","","测试商品信息录入—上一次token值","商品信息录入接口测试用例"
"passed","Wed Mar 09 16:39:00 CST 2022","Wed Mar 09 16:39:00 CST 2022","131","testcases.test_business_token_goods_promote07","test_business_token_goods_promote01","TestGoodsPromote","","","测试该商品已经在促销状态，不能再次开启促销","商品促销设置接口测试用例"
"passed","Wed Mar 09 16:39:06 CST 2022","Wed Mar 09 16:39:06 CST 2022","179","testcases.test_business_token_order_items05","test_business_token_order_items01","TestOrderItems","","","订单信息查询订单编号为空","订单信息查询接口测试用例"
"passed","Wed Mar 09 16:39:04 CST 2022","Wed Mar 09 16:39:05 CST 2022","126","testcases.test_business_token_login02","test_login05","TestLogin","","","测试用户类型为空的场景","商品登录模块接口测试用例"
"passed","Wed Mar 09 16:39:03 CST 2022","Wed Mar 09 16:39:03 CST 2022","131","testcases.test_business_token_goodsinfo04","test_business_token_goodsinfo03","TestGoodsInfo","","","商品信息查询—不存在的商品编号（6位数字）","商品信息查询模块接口测试用例"
"passed","Wed Mar 09 16:38:53 CST 2022","Wed Mar 09 16:38:53 CST 2022","150","testcases.test_business_register03","test_business_register03","TestRegister","","","qq为空的场景","商品注册模块接口测试用例"
"passed","Wed Mar 09 16:38:49 CST 2022","Wed Mar 09 16:38:49 CST 2022","118","testcases.test_business_register03","test_business_register03","TestRegister","","","用户名为9位无效边界值的场景","商品注册模块接口测试用例"
"failed","Wed Mar 09 16:38:58 CST 2022","Wed Mar 09 16:38:58 CST 2022","131","testcases.test_business_token_goods_promote07","test_business_token_goods_promote01","TestGoodsPromote","","","正常流程","商品促销设置接口测试用例"
"passed","Wed Mar 09 16:39:00 CST 2022","Wed Mar 09 16:39:00 CST 2022","129","testcases.test_business_token_goods_promote07","test_business_token_goods_promote01","TestGoodsPromote","","","测试商品编号不存在","商品促销设置接口测试用例"
"passed","Wed Mar 09 16:38:55 CST 2022","Wed Mar 09 16:38:55 CST 2022","126","testcases.test_business_token_goods_delete08","test_business_token_goods_delete01","TestGoodsDelete","","","测试商品编号的商品没下架","商品删除模块几口测试用例"
"passed","Wed Mar 09 16:38:50 CST 2022","Wed Mar 09 16:38:50 CST 2022","118","testcases.test_business_register03","test_business_register03","TestRegister","","","用户名前包含空格的场景","商品注册模块接口测试用例"
"passed","Wed Mar 09 16:38:52 CST 2022","Wed Mar 09 16:38:52 CST 2022","118","testcases.test_business_register03","test_business_register03","TestRegister","","","手机号为空的场景","商品注册模块接口测试用例"
"passed","Wed Mar 09 16:38:57 CST 2022","Wed Mar 09 16:38:57 CST 2022","127","testcases.test_business_token_goods_input06","test_business_token_goods_input01","TestGoodsInput","","","测试商品库存为小数","商品信息录入接口测试用例"
